codigo,nombre,precio,laboratorio
305107,Anticuerpos anti-MPO (mieloperoxidasa),27809,imalab
305007,ANTICUERPOS ANTIPLAQUETARIOS CIRCULANTES,9936,imalab
P305082,Anticuerpos anti-PR3,12800,imalab
305181,Anticuerpos antitransglutaminasa (IgA),13692,imalab
305181,Anticuerpos antitransglutaminasa (IgG),13692,imalab
306061,ANTICUERPOS CHAGAS,9216,imalab
306061,ANTICUERPOS CHAGAS,9216,imalab
305007,Anticuerpos específicos anti-microsomales,9936,imalab
305007,Anticuerpos específicos anti-tiroglobulina,9936,imalab
306169,"ANTICUERPOS VIRALES, DETERM. DE H.I.V.",6104,imalab
306169,"Anticuerpos virales, test rápido de H.I.V.",6104,imalab
305008,ANTIESTREPTOLISINA O (ASO),5279,imalab
306028,ANTIFUNGIGRAMA (MINIMO 4 FARMACOS ANTIHONGOS),4448,imalab
305009,ANTIGENO CARCINOEMBRIONARIO (CEA),7987,imalab
306094,ANTIGENO GALACTOMANANO ASPERGILLUS,43952,imalab
306570,ANTIGENO LEGIONELLA,48817,imalab
305070,ANTIGENO PROSTATICO ESPECIFICO TOTAL (PSAT),10269,imalab
305104,ANTIGENO PROSTATICO TOTAL Y LIBRE,16970,imalab
306571,ANTIGENO STREPTOCOCCUS PNEUMONIAE,48817,imalab
306079,ANTIGENO SUPERFICIE VIRUS HEPATITIS B,6179,imalab
301008,ANTITROMBINA III,8592,imalab
302070,APOLIPOPROTEINAS A1,11360,imalab
302070,APOLIPOPROTEINAS B,11360,imalab
309034,ARSENICO EN ORINA (MUESTRA AISLADA),81600,imalab
307009,ARTERIAL EN ADULTOS,1361,imalab
307010,ARTERIAL EN NINOS Y LACTANTES,2014,imalab
305112,AUTOCROSSMATCH LINFOCITOS T Y B   (CITOMETRÍA DE FLUJO ),202790,imalab
308001,AZUCARES REDUCTORES BENEDICT - FEHLING,1285,imalab
306002,BACILOSCOPIA,1945,imalab
306001,BACILOSCOPIA DE LIQUIDOS,2983,imalab
306002,BACILOSCOPIA TEJIDOS,1945,imalab
308020,BANDAS OLIGOCLONALES,42848,imalab
P639911,BARTONELLA HENSELAE ANTICUERPOS IGG,57600,imalab
305029,BARTONELLA HENSELAE ANTICUERPOS IGM,12800,imalab
P639911,BARTONELLA HENSELAE ANTICUERPOS IGM,57600,imalab
302035,BENZODIAZEPINAS,16771,imalab
305010,BETA-2-MICROGLOBULINA,13200,imalab
302011,BICARBONATO ARTERIAL,811,imalab
302011,BICARBONATO VENOSO,811,imalab
302012,BILIRRUBINA TOTAL,1746,imalab
302013,BILIRRUBINA TOTAL Y DIRECTA,1650,imalab
P306556,BORDETELLA PERTUSIS ANTICUERPOS IgG,17600,imalab
P306556,BORDETELLA PERTUSIS ANTICUERPOS IgM,17600,imalab
P306037,BORRELIA BURGDORFERI IGG,22400,imalab
P306037,BORRELIA BURGDORFERI IGM,22400,imalab
305170,CA 125,10647,imalab
305170,CA 15-3,10647,imalab
305170,CA 19-9,10647,imalab
302015,CALCIO,1560,imalab
309008,CALCIO EN ORINA 12 HRS,2309,imalab
309008,CALCIO EN ORINA 24 HRS,2309,imalab
309008,CALCIO EN ORINA AISLADA,2309,imalab
302081,CALCIO IONICO,2804,imalab
302081,CALCIO IONICO,2804,imalab
303053,CALCITONINA,75168,imalab
308049,CALPROTECTINA CUANTITATIVA POR ELISA,32311,imalab
301029,CAPAC.FIJACION DEL FIERRO (TIBC),5210,imalab
302035,CARBAMAZEPINA,10256,imalab
P302502,CARBAMAZEPINA LIBRE,27040,imalab
302083,CARBOXIHEMOGLOBINA,16345,imalab
306088,Carga Viral BK (Virus Polioma),68664,imalab
306086,CARGA VIRAL VIH,109968,imalab
304003,CARIOTIPO EN FIBROBLASTOS,68623,imalab
304002,CARIOTIPO EN MEDULA OSEA,779200,imalab
304001,CARIOTIPO EN SANGRE POR CULTIVO DE LINFOCITOS,274176,imalab
304016,CARIOTIPO MOLECULAR (HIBRIDACIÓN GENÓMICA COMPARATIVA EN MICROMATRICES) 60K,573530,imalab
302017,CAROTENO,3632,imalab
302018,CAROTENO CON SOBRECARGA,5409,imalab
303051,CATECOLAMINAS EN ORINA,59792,imalab
303051,CATECOLAMINAS EN ORINA AISLADA,127649,imalab
303049,CATECOLAMINAS EN SANGRE,57136,imalab
308033,CELULAS ANARANJADAS (PROC. AUT.),900,imalab
302019,CERULOPLASMINA,6538,imalab
302001,CETONEMIA,1058,imalab
306061,CHAGAS TRYPANOSOMA CRUZI ANTICUERPOS IgG,9216,imalab
306034,CHLAMYDIA OCULAR- IFD,8912,imalab
306034,CHLAMYDIA PNEUMONIAE ANTICUERPOS IgG,8912,imalab
306034,CHLAMYDIA PNEUMONIAE ANTICUERPOS IgM,8912,imalab
306034,CHLAMYDIA PSCITTACI ANTICUERPOS IgG,8912,imalab
306034,CHLAMYDIA PSCITTACI ANTICUERPOS IgM,8912,imalab
306034,CHLAMYDIA TRACHOMATIS ANTICUERPOS IgG,8912,imalab
306034,CHLAMYDIA TRACHOMATIS ANTICUERPOS IgM,8912,imalab
306097,CHLAMYDIA TRACHOMATIS DETECCION  POR PCR-RT,69552,imalab
306034,CHLAMYDIA TRACHOMATIS POR IFD,8912,imalab
301030,CINETICA DEL FIERRO ,5870,imalab
306061,CISTICERCOSIS ANTICUERPOS IgG,9216,imalab
306083,CITOMEGALOVIRUS (CMV) SHELL VIAL AISLAMIENTO RÁPIDO,52395,imalab
306069,CITOMEGALOVIRUS ANTICUERPOS IgG-IgM,16000,imalab
P305999,"CITOMEGALOVIRUS, CARGA VIRAL POR PCR-RT",176000,imalab
P302002,CITRATO EN ORINA 24 HRS.,32000,imalab
301034,CLASIFICACION SANGUINEA AB0 Y RhD,2818,imalab
